element_start,mmd_corpse,ActorDataClass
m_Tags,meat,
m_IsBattleComplete,True,
m_Size,1,
m_IsTickTriggerValid,True,
m_DeathRound,10,
m_TokenViewValid,False,
m_IsEffectsReasonValid,False,
element_end
element_start,mmd_corpse,ActorDataStats
key_map,health_max,speed,speed_number_of_turns,
add_stats,28,5,0,
sub_stat,resistance,stun,0.2,
sub_stat,resistance,blight,0.4,
sub_stat,resistance,bleed,0.2,
sub_stat,resistance,burn,0.1,
sub_stat,resistance,disease,0.4,
sub_stat,resistance,move,0.3,
sub_stat,resistance,debuff,0.1,
element_end
element_start,mmd_corpse,ActorDataEffects
spawn_effects,mmd_corpse_sporebound_buff_spawn_effect,mmd_corpse_sporebound_buff_health_effect,
round_start_effects,mmd_corpse_turn_start_effect_1,mmd_corpse_turn_start_effect_2,mmd_corpse_turn_start_effect_3,mmd_corpse_turn_start_effect_4,
element_end
element_start,mmd_corpse_turn_start_effect_1,Effect
m_Chance,0.5,
m_TokenAddId,riposte,
m_TokenAddAmount,1,
m_ShowValue,False,
element_end
element_start,mmd_corpse_turn_start_effect_2,Effect
m_Chance,0.5,
m_TokenAddId,block,
m_TokenAddAmount,1,
m_ShowValue,False,
element_end
element_start,mmd_corpse_turn_start_effect_3,Effect
m_Chance,0.5,
m_TokenAddId,taunt,
m_TokenAddAmount,1,
m_ShowValue,False,
m_IgnoreResist,True,
element_end
element_start,mmd_corpse_turn_start_effect_4,Effect
m_Chance,0.5,
m_HealthHealPercent,0.1,
m_CritChance,0.05,
m_CritMultiplier,0.5,
element_end
element_start,mmd_corpse_attack,ActorDataSkill
m_IsFriendly,False,
launch_ranks,1,2,3,4,
target_ranks,1,2,3,4,
m_IsMultiHit,False,
m_CanBeRiposted,True,
m_AverageRankIgnored,False,
m_ValidActOutTypes,skill_before,skill_after,skill_additional,
m_Tags,melee,mmd_corpse_attack,
m_IsStallInvalidating,True,
element_end
element_start,mmd_corpse_attack,ActorDataStats
key_map,health_damage,health_damage_range,crit_chance,
add_stats,3,1,0.05,
element_end
element_start,mmd_corpse_riposte,ActorDataSkill
m_IsFriendly,False,
launch_ranks,1,2,3,4,
target_ranks,1,2,3,4,
m_IsMultiHit,False,
m_AverageRankIgnored,True,
m_ValidActOutTypes,skill_before,skill_after,skill_additional,
token_ignores,til_standard_riposte,
m_Tags,melee,riposte,mmd_corpse_riposte,
m_IsRiposteDamaging,True,
m_IsStallInvalidating,True,
element_end
element_start,mmd_corpse_riposte,ActorDataStats
